image	bicycle	bird	bottle	car	chair	diningtable	dog	person	pottedplant	sofa	
00010001	0.814724	0.168880	0.153814	0.285785	0.436224	0.653527	0.825202	0.499470	0.213519	0.183865	
00010002	0.905792	0.745167	0.961795	0.931249	0.001493	0.665701	0.090790	0.385683	0.979790	0.048783	
00010003	0.126987	0.477134	0.876255	0.799852	0.219478	0.503434	0.206378	0.302161	0.732253	0.528001	
00010004	0.913376	0.653445	0.488629	0.331075	0.388090	0.031432	0.793240	0.777596	0.471757	0.657677	
00010005	0.632359	0.966576	0.407077	0.737420	0.724354	0.763345	0.681732	0.124661	0.653162	0.329975	
00010006	0.097540	0.313027	0.126576	0.567440	0.767102	0.786841	0.469991	0.538647	0.223368	0.168342	
00010007	0.278498	0.076439	0.925425	0.016064	0.240689	0.823928	0.897769	0.851774	0.959164	0.165459	
00010008	0.546882	0.791415	0.005581	0.425515	0.035479	0.382846	0.408530	0.370645	0.256856	0.045867	
00010009	0.957507	0.365384	0.186388	0.029378	0.952299	0.353607	0.658548	0.352375	0.994226	0.229137	
00010010	0.964889	0.585099	0.324061	0.784177	0.530484	0.330518	0.958419	0.965183	0.843261	0.576814	
00010011	0.157613	0.183337	0.050187	0.980815	0.160420	0.702450	0.301820	0.310564	0.584664	0.405635	
00010012	0.970593	0.076919	0.144537	0.689944	0.362753	0.383894	0.724856	0.223978	0.776096	0.163342	
00010013	0.957167	0.153663	0.729369	0.779685	0.277614	0.031135	0.751902	0.938996	0.279547	0.368970	
00010014	0.485376	0.826876	0.482280	0.597979	0.580704	0.456642	0.185631	0.662383	0.247772	0.602217	
00010015	0.800280	0.300957	0.338065	0.284609	0.640866	0.279415	0.568380	0.405841	0.076030	0.962880	
00010016	0.141886	0.383884	0.236767	0.746255	0.118887	0.336279	0.061113	0.404815	0.632241	0.991214	
00010017	0.421761	0.650749	0.450863	0.693874	0.031292	0.052184	0.683282	0.489574	0.655586	0.069948	
00010018	0.915736	0.817371	0.185451	0.442523	0.480834	0.539986	0.668726	0.332034	0.282134	0.231825	
00010019	0.792207	0.766266	0.324255	0.419128	0.154103	0.380937	0.134200	0.960546	0.395725	0.275609	
00010020	0.959492	0.374176	0.263971	0.150771	0.926600	0.998440	0.893097	0.876916	0.606569	0.809950	
00010021	0.655741	0.189862	0.830077	0.540292	0.412229	0.529620	0.169664	0.504171	0.088420	0.975804	
00010022	0.035712	0.646502	0.696360	0.196360	0.403844	0.886439	0.544110	0.107204	0.372117	0.000123	
00010023	0.849129	0.003605	0.333537	0.749183	0.153173	0.815573	0.034614	0.568366	0.356089	0.472386	
00010024	0.933993	0.282888	0.580232	0.715660	0.875066	0.324690	0.814564	0.381120	0.401892	0.474988	
00010025	0.678735	0.638601	0.287838	0.704497	0.877336	0.266163	0.595102	0.600295	0.468301	0.129327	
00010026	0.757740	0.592075	0.263971	0.736287	0.092845	0.277812	0.405800	0.051418	0.140463	0.366451	
00010027	0.743132	0.325289	0.259901	0.656687	0.332592	0.754442	0.644035	0.697636	0.360860	0.484582	
00010028	0.392227	0.988951	0.677080	0.891096	0.693492	0.978925	0.366343	0.775213	0.121108	0.803679	
00010029	0.655478	0.123236	0.519827	0.491080	0.170896	0.642460	0.999970	0.817760	0.426507	0.682502	
00010030	0.171187	0.735877	0.076754	0.341777	0.345922	0.852242	0.706045	0.888022	0.166732	0.020955	
00010031	0.706046	0.156617	0.055845	0.962709	0.365071	0.855239	0.196802	0.681048	0.320988	0.133316	
00010032	0.031833	0.434647	0.258728	0.124944	0.341660	0.558858	0.829573	0.901892	0.255264	0.637321	
00010033	0.276923	0.832243	0.439927	0.208612	0.915388	0.253089	0.302489	0.863637	0.258439	0.415090	
00010034	0.046171	0.359910	0.284289	0.154970	0.171214	0.376631	0.523018	0.649225	0.525496	0.074463	
00010035	0.097132	0.076238	0.678768	0.807605	0.193373	0.545043	0.624865	0.402413	0.734890	0.865903	
00010036	0.823458	0.556926	0.949580	0.067367	0.966212	0.044818	0.004751	0.533895	0.103627	0.353218	
00010037	0.694829	0.273930	0.773955	0.490603	0.461039	0.334692	0.775371	0.035308	0.745557	0.865564	
00010038	0.317099	0.132055	0.636139	0.598418	0.734878	0.802580	0.212396	0.121676	0.592624	0.331730	
00010039	0.950222	0.699655	0.753581	0.365020	0.086795	0.493565	0.203979	0.567174	0.256117	0.695430	
00010040	0.034446	0.485905	0.746817	0.688559	0.215335	0.258800	0.794802	0.989837	0.071340	0.645296	
00010041	0.438744	0.182716	0.586031	0.856907	0.570570	0.284679	0.269900	0.358810	0.617788	0.561862	
00010042	0.381558	0.101215	0.773056	0.900638	0.323566	0.816923	0.830791	0.920609	0.072914	0.926934	
00010043	0.765517	0.201584	0.392488	0.951496	0.957258	0.591343	0.997261	0.466808	0.129113	0.589095	
00010044	0.795200	0.134746	0.605290	0.900047	0.590393	0.393866	0.395376	0.451600	0.801128	0.411671	
00010045	0.186873	0.323789	0.247433	0.006537	0.120142	0.110910	0.899643	0.957847	0.483914	0.521649	
00010046	0.489764	0.950545	0.290202	0.041932	0.276718	0.996487	0.530843	0.627497	0.055029	0.878207	
00010047	0.445586	0.532131	0.019333	0.870892	0.145665	0.005300	0.082251	0.854815	0.666783	0.461183	
00010048	0.646313	0.247686	0.347310	0.444401	0.719140	0.251523	0.418549	0.334378	0.053864	0.435373	
00010049	0.709365	0.437276	0.141796	0.442541	0.755146	0.670354	0.018904	0.545973	0.798107	0.593851	
00010050	0.754687	0.669088	0.411535	0.330599	0.847926	0.621190	0.901521	0.623899	0.621523	0.074962	
00010051	0.276025	0.547696	0.153068	0.939673	0.160877	0.421985	0.374959	0.815902	0.421490	0.035795	
00010052	0.679703	0.609054	0.829009	0.712841	0.426930	0.630274	0.011844	0.426912	0.143159	0.294098	
00010053	0.655098	0.863135	0.739200	0.938907	0.801657	0.039344	0.501150	0.045535	0.619456	0.756887	
00010054	0.162612	0.380696	0.098870	0.530956	0.206385	0.445958	0.443384	0.792939	0.831902	0.767966	
00010055	0.118998	0.748956	0.820633	0.021803	0.656937	0.328194	0.852444	0.783796	0.109756	0.089640	
00010056	0.498364	0.156697	0.227112	0.820391	0.290159	0.797500	0.500863	0.679139	0.750630	0.305414	
00010057	0.959744	0.058124	0.106941	0.287496	0.685802	0.855603	0.112195	0.950660	0.214510	0.204780	
00010058	0.340386	0.339707	0.662776	0.867380	0.308792	0.923347	0.791401	0.394170	0.691042	0.011851	
00010059	0.585268	0.817176	0.954576	0.860211	0.942700	0.295944	0.934827	0.127546	0.646407	0.647442	
00010060	0.223812	0.377548	0.814564	0.550632	0.238910	0.902589	0.855888	0.653056	0.200012	0.706104	
00010061	0.751267	0.972605	0.623253	0.457238	0.698780	0.095264	0.155007	0.891198	0.540147	0.780095	
00010062	0.255095	0.605319	0.328269	0.850024	0.139920	0.394988	0.081301	0.161114	0.463328	0.847425	
00010063	0.505957	0.338236	0.277368	0.347778	0.445182	0.678003	0.628262	0.531846	0.613377	0.675143	
00010064	0.699077	0.927984	0.434377	0.238461	0.646046	0.153420	0.096957	0.464589	0.189511	0.685760	
00010065	0.890903	0.898425	0.350296	0.050938	0.085118	0.065262	0.033433	0.277487	0.778633	0.814629	
00010066	0.959291	0.850706	0.877759	0.134958	0.512014	0.106374	0.323610	0.804472	0.312764	0.003428	
00010067	0.547216	0.256792	0.006154	0.578133	0.249177	0.096461	0.645051	0.424004	0.075959	0.880379	
00010068	0.138624	0.285496	0.696449	0.904369	0.375285	0.395889	0.584276	0.069693	0.611002	0.447470	
00010069	0.149294	0.779947	0.338063	0.771166	0.589691	0.985170	0.672177	0.145645	0.258461	0.820511	
00010070	0.257508	0.701395	0.304984	0.704143	0.995183	0.568954	0.792689	0.524090	0.711896	0.828380	
00010071	0.840717	0.492512	0.648101	0.422411	0.038352	0.282274	0.380194	0.285918	0.938614	0.872064	
00010072	0.254282	0.967668	0.921146	0.957857	0.265685	0.668623	0.079293	0.450257	0.724694	0.275077	
00010073	0.814285	0.476161	0.893074	0.755589	0.302191	0.619357	0.434192	0.792616	0.542110	0.089110	
00010074	0.243525	0.994906	0.997179	0.366003	0.206143	0.915463	0.785474	0.825561	0.898957	0.004423	
00010075	0.929264	0.490579	0.072884	0.550614	0.633700	0.207402	0.304882	0.577297	0.741328	0.934334	
00010076	0.349984	0.503453	0.129619	0.221429	0.715582	0.050989	0.734032	0.782046	0.486692	0.731530	
00010077	0.196595	0.768773	0.981568	0.255945	0.535503	0.703059	0.100197	0.355603	0.578137	0.821186	
00010078	0.251084	0.388084	0.090242	0.735253	0.074616	0.159723	0.172767	0.032739	0.896811	0.141278	
00010079	0.616045	0.453259	0.686159	0.315545	0.153360	0.671057	0.925116	0.856734	0.044710	0.701485	
00010080	0.473289	0.132854	0.928965	0.422405	0.683658	0.068315	0.788422	0.339657	0.127641	0.698165	
00010081	0.351660	0.758506	0.141816	0.748442	0.333781	0.029748	0.778826	0.395754	0.108806	0.372328	
00010082	0.830829	0.565237	0.884416	0.353089	0.841985	0.841617	0.877306	0.771738	0.475015	0.569027	
00010083	0.585264	0.648637	0.019762	0.446459	0.947992	0.753925	0.909721	0.944795	0.846480	0.371522	
